;"„Meditationsretreat über Ostern/Freiheit wagen“ mit Bhante Nyanabodhi";"Oy-Mittelberg";2009-04-09;"buddha_haus";"Kurs Nr. 4"
;"„Geistesgegenwart – Erkenntnis – Mitgefühl“ mit Akincano M. Weber";"Oy-Mittelberg";2009-04-25;"buddha_haus";"Kurs Nr. 5"
;"20 Jahre Buddha–Haus und Vesakhfeier";"Oy-Mittelberg";2009-05-09;"buddha_haus";
;"„Meditaionseseminar - Was soll geschehen das Gute zu erreichen?“
mit Dr. Wilfried Reuter";"Oy-Mittelberg";2009-05-13;"buddha_haus";"Kurs Nr. 6"
;"„Meditaionstage - Sich mit dem Leben verbinden“ mit Traudel Reiß";"Oy-Mittelberg";2009-05-21;"buddha_haus";"Kurs Nr. 7"
;"„Meditationskurs - Die drei Tore zum Glück“ mit Heinz Roiger";"Oy-Mittelberg";2009-05-30;"buddha_haus";"Kurs Nr. 8"
;"„Eltern–Kinder–Kurs – Eine meditative Zeit mit Kindern ab 8 Jahren“ mit Bärbel Wildgruber & Brigitte Smith";"Oy-Mittelberg";2009-06-10;"buddha_haus";"Kurs Nr. 9"
;"„Meditationstage“ mit Bhante Olande Ananda";"Oy-Mittelberg";2009-06-20;"buddha_haus";"Kurs Nr. 10"
;"Ordentliche Mitgliederversammlung";"Oy-Mittelberg";2009-07-04;"buddha_haus";
;"„Meditationsseminar mit Yoga - Die Wirklichkeit erkennen“ mit Karen Kold Wagner";"Oy-Mittelberg";2009-07-11;"buddha_haus";"Kurs Nr. 11"
;"„Vipassana Meditationskurs - Achtsamkeit – Weisheit – Güte entwickeln“ mit Renate Seifarth";"Oy-Mittelberg";2009-07-22;"buddha_haus";"Kurs Nr. 12"
;"„Meditationsseminar - Meditation und Achtsamkeit“ mit Norbert Wildgruber";"Oy-Mittelberg";2009-08-05;"buddha_haus";"Kurs Nr. 13"
;"„Meditationskurs für erfahrene Meditierende - Das Herz – und die Aktivitäten des Herzens“ mit Ajahn Khemasiri";"Oy-Mittelberg";2009-08-19;"buddha_haus";"Kurs Nr. 14"
;"„Meditation und Lehre des Buddha - Die Suche nach dem Selbst“ -  mit Charlie Pils";"Oy-Mittelberg";2009-09-03;"buddha_haus";"Kurs Nr. 15"
;"„Meditationskurs - Das Geschenk Leben bewusst leben“ mit Friederike Termeer";"Oy-Mittelberg";2009-09-16;"buddha_haus";"Kurs Nr. 16"
;"„Meditationskurs mit Yoga - Selbstbestimmen durch weises Besinnen“ mit mit Ursula Lyon & Angelika Stemmer";"Oy-Mittelberg";2009-09-26;"buddha_haus";"Kurs Nr. 17"
;"„Meditationstage  - Die fünf Kräfte des Geistes“ mit Charlie Pils";"Oy-Mittelberg";2009-10-09;"buddha_haus";"Kurs Nr. 18"
;"„Seminar mit kommunikativen Übungen - Vom Sterben lernen, dem Leben dienen“ mit Michael Clausing / Wolfgang Smith";"Oy-Mittelberg";2009-10-15;"buddha_haus";"Kurs Nr. 19"
;"„Meditationsseminar – Leider!“ mit Bhante Nyanabodhi";"Oy-Mittelberg";2009-10-24;"buddha_haus";"Kurs Nr. 20"
;"„Meditationskurs - Freundschaft mit mir selbst“ mit Dr. Wilfried Reuter";"Oy-Mittelberg";2009-11-14;"buddha_haus";"Kurs Nr. 21"
;"„Meditationsseminar - Ruhe und Einsicht durch Meditation“ mit Dr. Sylvia Kolk";"SZ-Riederalp";2009-11-29;"buddha_haus";"Kurs Nr. 22"
;"„Meditationskurs - Ein meditativer Jahresbeginn“ mit Friederike Termeer";"Oy-Mittelberg";2009-12-30;"buddha_haus";"Kurs Nr. 23"
